番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
64,secondary education,noun,/ˈsekənderi ˌedʒuˈkeɪʃən/,中等教育、中学・高校段階の教育,education after primary school and before university,小学校の後、大学の前の教育段階を指す。国によって中学・高校の区分は異なる。,secondary education system / complete secondary education / access to secondary education / secondary education level,Access to secondary education can improve young people’s job opportunities.,中等教育へのアクセスは若者の就職機会を改善できる。,high school education; post-primary education; middle and high school education,Task 2のeducation・employment topicで使える。
65,tertiary / higher education,noun,/ˈtɝːʃieri ˌedʒuˈkeɪʃən/,高等教育、大学以上の教育,education at university or college level,大学・専門学校・大学院など、小中高の後の教育を指す。IELTSでは “higher education” がかなり使いやすい。,access to higher education / tertiary education institutions / pursue higher education / higher education system,Higher education can provide students with specialised knowledge and skills.,高等教育は学生に専門的な知識と技能を与えることができる。,university education; college education; post-secondary education; advanced education,Task 2のeducation topicで頻出。“tertiary education” はややフォーマル。
66,overdue,adjective,/ˌoʊvərˈduː/,期限を過ぎた、遅れている,late or not done by the expected time,支払い・提出物・予定されていた変化などが期限を過ぎている時に使う。“long overdue” は「とっくに必要だった」という意味で便利。,overdue payment / overdue assignment / long overdue / overdue reform,The reform of the education system is long overdue.,教育制度の改革はとっくに必要とされていた。,late; delayed; past due; behind schedule,SpeakingやTask 2で “long overdue” が使いやすい。
67,patch,noun,/pætʃ/,小区画、つぎ当て、一部分,a small area or piece of something,地図では「小さな土地・緑地の区画」という意味で使える。日常では服のつぎ当てやソフトウェア修正の意味もある。,a patch of land / a patch of grass / a small patch / patch update,A small patch of grass was added near the entrance.,入口の近くに小さな芝生の区画が追加された。,area; piece; section; plot,Task 1 mapで “a patch of grass/woodland” が便利。
68,cemetery,noun,/ˈseməteri/,墓地,a place where dead people are buried,墓が集まっている場所を指す。地図問題や町の施設の説明で出ることがある。,old cemetery / local cemetery / cemetery area / near the cemetery,The cemetery was located to the east of the church.,墓地は教会の東側に位置していた。,graveyard; burial ground; churchyard; memorial ground,Task 1 mapで位置説明に使える。
69,winding,adjective,/ˈwaɪndɪŋ/,曲がりくねった,"not straight, with many bends",道路・川・小道などがまっすぐではなく曲がっている様子を表す。Task 1 mapで道路や川の形を描写する時に便利。,a winding road / a winding path / a winding river / winding streets,A winding road ran through the village from north to south.,曲がりくねった道路が村を北から南へ通っていた。,curved; twisting; meandering; bendy,Task 1 mapでかなり使いやすい。
70,repurposing,noun,/ˌriːˈpɝːpəsɪŋ/,用途変更、別目的への転用,using something for a new purpose,建物や土地を元の目的とは違う用途に変えること。Task 1 mapで「施設が別用途に変わった」と言いたい時に使える。,repurposing old buildings / repurposing land / repurposing a factory / urban repurposing,The repurposing of the old factory created a new community centre.,古い工場の用途変更により、新しいコミュニティセンターが作られた。,conversion; reuse; redevelopment; adaptation,Task 1 mapで便利だが、“was converted into” の方が簡単で安全。
71,alteration,noun,/ˌɔːltəˈreɪʃən/,変更、改変,a change made to something,建物・服・計画・制度などに加えられた変更を表す。Task 1 mapで「建物や道路に変更が加えられた」と言いたい時に使える。,make alterations / minor alterations / structural alterations / alterations to a building,The map shows several alterations to the town centre.,地図は町の中心部にいくつかの変更があったことを示している。,change; modification; adjustment; revision,Task 1 mapで便利。“change” より少しフォーマル。
72,numerically,adverb,/nuːˈmerɪkli/,数値的に、数字の上では,in terms of numbers,数や割合の面から比較する時に使う。少し硬い表現なので、Task 1で「数値上は」と説明する時に使える。,numerically higher / numerically smaller / compare numerically / rank numerically,"Numerically, petrol cars remained the largest category in 2020.",数値的には、2020年もガソリン車が最大のカテゴリーであり続けた。,in numbers; statistically; quantitatively; by number,Task 1で使えるが、“in terms of numbers” の方が安全な場合もある。
73,midway through the period,phrase,/ˌmɪdˈweɪ θruː ðə ˈpɪriəd/,期間の中頃に,in the middle of the period,Task 1で期間の途中、特にグラフの変化を説明する時に使える便利表現。“in the middle of the period” より自然でアカデミック。,midway through the period / midway through the decade / rise midway through the period / peak midway through the period,Sales reached their highest point midway through the period.,売上は期間の中頃に最高点に達した。,in the middle of the period; halfway through the period; by the middle; at the midpoint,Task 1 line graphやbar chartでかなり使いやすい。
